sentance,list,senId,userFieldName,id
The tin box held priceless stones,48,sn_473,q3,list48-q3
We need an end of all such matter,48,sn_474,q4,list48-q4
The case was puzzling to the old and wise,48,sn_475,q5,list48-q5
The bright lanterns were gay on the dark lawn,48,sn_476,q6,list48-q6
We dont get much money but we have fun,48,sn_477,q7,list48-q7
The youth drove with zest but little skill,48,sn_478,q8,list48-q8
Five years he lived with a shaggy dog,48,sn_479,q9,list48-q9
A fence cuts through the corner lot,48,sn_480,q10,list48-q10
The way to save money is not to spend much,49,sn_481,q1,list49-q1
Shut the hatch before the waves push it in,49,sn_482,q2,list49-q2
The odor of spring makes young hearts jump,49,sn_483,q3,list49-q3
Crack the walnut with your sharp side teeth,49,sn_484,q4,list49-q4
He offered proof in the form of a large chart,49,sn_485,q5,list49-q5
Send the stuff in a thick paper bag,49,sn_486,q6,list49-q6
A quart of milk is water for the most part,49,sn_487,q7,list49-q7
They told wild tales to frighten him,49,sn_488,q8,list49-q8
The three story house was built of stone,49,sn_489,q9,list49-q9
In the rear of the ground floor was a large passage,49,sn_490,q10,list49-q10
A man in a blue sweater sat at the desk,50,sn_491,q1,list50-q1
Oats are a food eaten by horse and man,50,sn_492,q2,list50-q2
Their eyelids droop for want of sleep,50,sn_493,q3,list50-q3
A sip of tea revives his tired friend,50,sn_494,q4,list50-q4
There are many ways to do these things,50,sn_495,q5,list50-q5
Tuck the sheet under the edge of the mat,50,sn_496,q6,list50-q6
A force equal to that would move the earth,50,sn_497,q7,list50-q7
We like to see clear weather,50,sn_498,q8,list50-q8
The work of the tailor is seen on each side,50,sn_499,q9,list50-q9
Take a chance and win a china doll,50,sn_500,q10,list50-q10
Shake the dust from your shoes stranger,51,sn_501,q1,list51-q1
She was kind to sick old people,51,sn_502,q2,list51-q2
The square wooden crate was packed to be shipped,51,sn_503,q3,list51-q3
The dusty bench stood by the stone wall,51,sn_504,q4,list51-q4
We dress to suit the weather of most days,51,sn_505,q5,list51-q5
Smile when you say nasty words,51,sn_506,q6,list51-q6
A bowl of rice is free with chicken stew,51,sn_507,q7,list51-q7
The water in this well is a source of good health,51,sn_508,q8,list51-q8
Take shelter in this tent but keep still,51,sn_509,q9,list51-q9
That guy is the writer of a few banned books,51,sn_510,q10,list51-q10
The little tales they tell are false,52,sn_511,q1,list52-q1
The door was barred locked and bolted as well,52,sn_512,q2,list52-q2
Ripe pears are fit for a queens table,52,sn_513,q3,list52-q3
A big wet stain was on the round carpet,52,sn_514,q4,list52-q4
The kite dipped and swayed but stayed aloft,52,sn_515,q5,list52-q5
The pleasant hours fly by much too soon,52,sn_516,q6,list52-q6
The room was crowded with a wild mob,52,sn_517,q7,list52-q7
This strong arm shall shield your honor,52,sn_518,q8,list52-q8
She blushed when he gave her a white orchid,52,sn_519,q9,list52-q9
The beetle droned in the hot June sun,52,sn_520,q10,list52-q10
Press the pedal with your left foot,53,sn_521,q1,list53-q1
Neat plans fail without luck,53,sn_522,q2,list53-q2
The black trunk fell from the landing,53,sn_523,q3,list53-q3
The bank pressed for payment of the debt,53,sn_524,q4,list53-q4
The theft of the pearl pin was kept secret,53,sn_525,q5,list53-q5
Shake hands with this friendly child,53,sn_526,q6,list53-q6
The vast space stretched into the far distance,53,sn_527,q7,list53-q7
A rich farm is rare in this sandy waste,53,sn_528,q8,list53-q8
His wide grin earned many friends,53,sn_529,q9,list53-q9
Flax makes a fine brand of paper,53,sn_530,q10,list53-q10
Hurdle the pit with the aid of a long pole,54,sn_531,q1,list54-q1
A strong bid may scare your partner stiff,54,sn_532,q2,list54-q2
Even a just cause needs power to win,54,sn_533,q3,list54-q3
Peep under the tent and see the clowns,54,sn_534,q4,list54-q4
The leaf drifts along with a slow spin,54,sn_535,q5,list54-q5
Cheap clothes are flashy but dont last,54,sn_536,q6,list54-q6
A thing of small note can cause despair,54,sn_537,q7,list54-q7
Flood the mails with requests for this book,54,sn_538,q8,list54-q8
A thick coat of black paint covered all,54,sn_539,q9,list54-q9
The pencil was cut to be sharp at both ends,54,sn_540,q10,list54-q10
Those last words were a strong statement,55,sn_541,q1,list55-q1
He wrote his name boldly at the top of the sheet,55,sn_542,q2,list55-q2
Dill pickles are sour but taste fine,55,sn_543,q3,list55-q3
Down that road is the way to the grain farmer,55,sn_544,q4,list55-q4
Either mud or dust are found at all times,55,sn_545,q5,list55-q5
The best method is to fix it in place with clips,55,sn_546,q6,list55-q6
If you mumble your speech will be lost,55,sn_547,q7,list55-q7
At night the alarm roused him from a deep sleep,55,sn_548,q8,list55-q8
Read just what the meter says,55,sn_549,q9,list55-q9
Fill your pack with bright trinkets for the poor,55,sn_550,q10,list55-q10
The small red neon lamp went out,56,sn_551,q1,list56-q1
Clams are small round soft and tasty,56,sn_552,q2,list56-q2
The fan whirled its round blades softly,56,sn_553,q3,list56-q3
The line where the edges join was clean,56,sn_554,q4,list56-q4
Breathe deep and smell the piny air,56,sn_555,q5,list56-q5
It matters not if he reads these words or those,56,sn_556,q6,list56-q6
A brown leather bag hung from its strap,56,sn_557,q7,list56-q7
A toad and a frog are hard to tell apart,56,sn_558,q8,list56-q8
A white silk jacket goes with any shoes,56,sn_559,q9,list56-q9
A break in the dam almost caused a flood,56,sn_560,q10,list56-q10
Paint the sockets in the wall dull green,57,sn_561,q1,list57-q1
The child crawled into the dense grass,57,sn_562,q2,list57-q2
Bribes fail where honest men work,57,sn_563,q3,list57-q3
Trample the spark else the flames will spread,57,sn_564,q4,list57-q4
The hilt of the sword was carved with fine designs,57,sn_565,q5,list57-q5
A round hole was drilled through the thin board,57,sn_566,q6,list57-q6
Footprints showed the path he took up the beach,57,sn_567,q7,list57-q7
She was waiting at my front lawn,57,sn_568,q8,list57-q8
A vent near the edge brought in fresh air,57,sn_569,q9,list57-q9
Prod the old mule with a crooked stick,57,sn_570,q10,list57-q10
It is a band of steel three inches wide,58,sn_571,q1,list58-q1
The pipe ran almost the length of the ditch,58,sn_572,q2,list58-q2
It was hidden from sight by a mass of leaves and shrubs,58,sn_573,q3,list58-q3
The weight of the package was seen on the high scale,58,sn_574,q4,list58-q4
Wake and rise and step into the green outdoors,58,sn_575,q5,list58-q5
The green light in the brown box flickered,58,sn_576,q6,list58-q6
The brass tube circled the high wall,58,sn_577,q7,list58-q7
The lobes of her ears were pierced to hold rings,58,sn_578,q8,list58-q8
Hold the hammer near the end to drive the nail,58,sn_579,q9,list58-q9
Next Sunday is the twelfth of the month,58,sn_580,q10,list58-q10
Every word and phrase he speaks is true,59,sn_581,q1,list59-q1
He put his last cartridge into the gun and fired,59,sn_582,q2,list59-q2
They took their kids from the public school,59,sn_583,q3,list59-q3
Drive the screw straight into the wood,59,sn_584,q4,list59-q4
Keep the hatch tight and the watch constant,59,sn_585,q5,list59-q5
Sever the twine with a quick snip of the knife,59,sn_586,q6,list59-q6
Paper will dry out when wet,59,sn_587,q7,list59-q7
Slide the catch back and open the desk,59,sn_588,q8,list59-q8
Help the weak to preserve their strength,59,sn_589,q9,list59-q9
A sullen smile gets few friends,59,sn_590,q10,list59-q10
Stop whistling and watch the boys march,60,sn_591,q1,list60-q1
Jerk the cord and out tumbles the gold,60,sn_592,q2,list60-q2
Slide the tray across the glass top,60,sn_593,q3,list60-q3
The cloud moved in a stately way and was gone,60,sn_594,q4,list60-q4
Light maple makes for a swell room,60,sn_595,q5,list60-q5
Set the piece here and say nothing,60,sn_596,q6,list60-q6
Dull stories make her laugh,60,sn_597,q7,list60-q7
A stiff cord will do to fasten your shoe,60,sn_598,q8,list60-q8
Get the trust fund to the bank early,60,sn_599,q9,list60-q9
Choose between the high road and the low,60,sn_600,q10,list60-q10
A plea for funds seems to come again,61,sn_601,q1,list61-q1
He lent his coat to the tall gaunt stranger,61,sn_602,q2,list61-q2
There is a strong chance it will happen once more,61,sn_603,q3,list61-q3
The duke left the park in a silver coach,61,sn_604,q4,list61-q4
Greet the new guests and leave quickly,61,sn_605,q5,list61-q5
When the frost has come it is time for turkey,61,sn_606,q6,list61-q6
Sweet words work better than fierce,61,sn_607,q7,list61-q7
A thin stripe runs down the middle,61,sn_608,q8,list61-q8
A six comes up more often than a ten,61,sn_609,q9,list61-q9
Lush fern grow on the lofty rocks,61,sn_610,q10,list61-q10
The ram scared the school children off,62,sn_611,q1,list62-q1
The team with the best timing looks good,62,sn_612,q2,list62-q2
The farmer swapped his horse for a brown ox,62,sn_613,q3,list62-q3
Sit on the perch and tell the others what to do,62,sn_614,q4,list62-q4
A steep trail is painful for our feet,62,sn_615,q5,list62-q5
The early phase of life moves fast,62,sn_616,q6,list62-q6
Green moss grows on the northern side,62,sn_617,q7,list62-q7
Tea in thin china has a sweet taste,62,sn_618,q8,list62-q8
Pitch the straw through the door of the stable,62,sn_619,q9,list62-q9
The latch on the back gate needed a nail,62,sn_620,q10,list62-q10
The goose was brought straight from the old market,63,sn_621,q1,list63-q1
The sink is the thing in which we pile dishes,63,sn_622,q2,list63-q2
A whiff of it will cure the most stubborn cold,63,sn_623,q3,list63-q3
The facts dont always show who is right,63,sn_624,q4,list63-q4
She flaps her cape as she parades the street,63,sn_625,q5,list63-q5
The loss of the cruiser was a blow to the fleet,63,sn_626,q6,list63-q6
Loop the braid to the left and then over,63,sn_627,q7,list63-q7
Plead with the lawyer to drop the lost cause,63,sn_628,q8,list63-q8
Calves thrive on tender spring grass,63,sn_629,q9,list63-q9
Post no bills on this office wall,63,sn_630,q10,list63-q10
Tear a thin sheet from the yellow pad,64,sn_631,q1,list64-q1
A cruise in warm waters in a sleek yacht is fun,64,sn_632,q2,list64-q2
A streak of color ran down the left edge,64,sn_633,q3,list64-q3
It was done before the boy could see it,64,sn_634,q4,list64-q4
Crouch before you jump or miss the mark,64,sn_635,q5,list64-q5
Pack the kits and dont forget the salt,64,sn_636,q6,list64-q6
The square peg will settle in the round hole,64,sn_637,q7,list64-q7
Fine soap saves tender skin,64,sn_638,q8,list64-q8
Poached eggs and tea must suffice,64,sn_639,q9,list64-q9
Bad nerves are jangled by a door slam,64,sn_640,q10,list64-q10
Ship maps are different from those for planes,65,sn_641,q1,list65-q1
Dimes showered down from all sides,65,sn_642,q2,list65-q2
They sang the same tunes at each party,65,sn_643,q3,list65-q3
The sky in the west is tinged with orange red,65,sn_644,q4,list65-q4
The pods of peas ferment in bare fields,65,sn_645,q5,list65-q5
The horse balked and threw the tall rider,65,sn_646,q6,list65-q6
The hitch between the horse and cart broke,65,sn_647,q7,list65-q7
Pile the coal high in the shed corner,65,sn_648,q8,list65-q8
A gold vase is both rare and costly,65,sn_649,q9,list65-q9
The knife was hung inside its bright sheath,65,sn_650,q10,list65-q10
The rarest spice comes from the far East,66,sn_651,q1,list66-q1
The roof should be tilted at a sharp slant,66,sn_652,q2,list66-q2
A smatter of French is worse than none,66,sn_653,q3,list66-q3
The mule trod the treadmill day and night,66,sn_654,q4,list66-q4
The aim of the contest is to raise a great fund,66,sn_655,q5,list66-q5
To send it now in large amounts is bad,66,sn_656,q6,list66-q6
There is a fine hard tang in salty air,66,sn_657,q7,list66-q7
Cod is the main business of the north shore,66,sn_658,q8,list66-q8
The slab was hewn from heavy blocks of slate,66,sn_659,q9,list66-q9
Dunk the stale biscuits into strong drink,66,sn_660,q10,list66-q10
Hang tinsel from both branches,67,sn_661,q1,list67-q1
Cap the jar with a tight brass cover,67,sn_662,q2,list67-q2
The poor boy missed the boat again,67,sn_663,q3,list67-q3
Be sure to set the lamp firmly in the hole,67,sn_664,q4,list67-q4
Pick a card and slip it under the pack,67,sn_665,q5,list67-q5
A round mat will cover the dull spot,67,sn_666,q6,list67-q6
The first part of the plan needs changing,67,sn_667,q7,list67-q7
A good book informs of what we ought to know,67,sn_668,q8,list67-q8
The mail comes in three batches per day,67,sn_669,q9,list67-q9
You cannot brew tea in a cold pot,67,sn_670,q10,list67-q10
Dots of light betrayed the black cat,68,sn_671,q1,list68-q1
Put the chart on the mantel and tack it down,68,sn_672,q2,list68-q2
The night shift men rate extra pay,68,sn_673,q3,list68-q3
The red paper brightened the dim stage,68,sn_674,q4,list68-q4
See the player scoot to third base,68,sn_675,q5,list68-q5
Slide the bill between the two leaves,68,sn_676,q6,list68-q6
Many hands help get the job done,68,sn_677,q7,list68-q7
We dont like to admit our small faults,68,sn_678,q8,list68-q8
No doubt about the way the wind blows,68,sn_679,q9,list68-q9
Dig deep in the earth for pirates gold,68,sn_680,q10,list68-q10
The steady drip is worse than a drenching rain,69,sn_681,q1,list69-q1
A flat pack takes less luggage space,69,sn_682,q2,list69-q2
Green ice frosted the punch bowl,69,sn_683,q3,list69-q3
A stuffed chair slipped from the moving van,69,sn_684,q4,list69-q4
The stitch will serve but needs to be shortened,69,sn_685,q5,list69-q5
A thin book fits in the side pocket,69,sn_686,q6,list69-q6
The gloss on top made it unfit to read,69,sn_687,q7,list69-q7
The hail pattered on the burnt brown grass,69,sn_688,q8,list69-q8
Seven seals were stamped on great sheets,69,sn_689,q9,list69-q9
Our troops are set to strike heavy blows,69,sn_690,q10,list69-q10
The store was jammed before the sale could start,70,sn_691,q1,list70-q1
It was a bad error on the part of the new judge,70,sn_692,q2,list70-q2
One step more and the board will collapse,70,sn_693,q3,list70-q3
Take the match and strike it against your shoe,70,sn_694,q4,list70-q4
The pot boiled but the contents failed to jell,70,sn_695,q5,list70-q5
The baby puts his right foot in his mouth,70,sn_696,q6,list70-q6
The bombs left most of the town in ruins,70,sn_697,q7,list70-q7
Stop and stare at the hard working man,70,sn_698,q8,list70-q8
The streets are narrow and full of sharp turns,70,sn_699,q9,list70-q9
The pup jerked the leash as he saw a feline shape,70,sn_700,q10,list70-q10
Open your book to the first page,71,sn_701,q1,list71-q1
Fish evade the net and swim off,71,sn_702,q2,list71-q2
Dip the pail once and let it settle,71,sn_703,q3,list71-q3
Will you please answer that phone,71,sn_704,q4,list71-q4
The big red apple fell to the ground,71,sn_705,q5,list71-q5
The curtain rose and the show was on,71,sn_706,q6,list71-q6
The young prince became heir to the throne,71,sn_707,q7,list71-q7
He sent the boy on a short errand,71,sn_708,q8,list71-q8
Leave now and you will arrive on time,71,sn_709,q9,list71-q9
The corner store was robbed last night,71,sn_710,q10,list71-q10
A gold ring will please most any girl,72,sn_711,q1,list72-q1
The long journey home took a year,72,sn_712,q2,list72-q2
She saw a cat in the neighbors house,72,sn_713,q3,list72-q3
A pink shell was found on the sandy beach,72,sn_714,q4,list72-q4
Small children came to see him,72,sn_715,q5,list72-q5
The grass and bushes were wet with dew,72,sn_716,q6,list72-q6
The blind man counted his old coins,72,sn_717,q7,list72-q7
A severe storm tore down the barn,72,sn_718,q8,list72-q8
She called his name many times,72,sn_719,q9,list72-q9
When you hear the bell come quickly,72,sn_720,q10,list72-q10
